proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct
DISFARMA,BOGOTA,LAFRANCOL,104739-02,ACIDO VALPROICO 500MG TAB LIB RET FCOX30 CX1 (VALCOTE) - LAFRANCOL,67950,ACIDO VALPROICO,73200.0,Circular 19 de 2024,0.9282786885245902,-5250.0,-7.172131147540983
DISFARMA,CALI,LAFRANCOL,104739-02,ACIDO VALPROICO 500MG TAB LIB RET FCOX30 CX1 (VALCOTE) - LAFRANCOL,67950,ACIDO VALPROICO,73200.0,Circular 19 de 2024,0.9282786885245902,-5250.0,-7.172131147540983
DISFARMA,GIRON,LAFRANCOL,104739-02,ACIDO VALPROICO 500MG TAB LIB RET FCOX30 CX1 (VALCOTE) - LAFRANCOL,67950,ACIDO VALPROICO,73200.0,Circular 19 de 2024,0.9282786885245902,-5250.0,-7.172131147540983
DISFARMA,BOGOTA,BOEHRINGER,1980804-02,BROMURO IPRATROPIO 0.25MG/ML SOL INH FCOX20ML CX1 (ATROVENT) - BOEHRINGER,23500,BROMURO IPRATROPIO,24450.0,Circular 19 de 2024,0.9611451942740287,-950.0,-3.885480572597137
DISFARMA,CALI,BOEHRINGER,1980804-02,BROMURO IPRATROPIO 0.25MG/ML SOL INH FCOX20ML CX1 (ATROVENT) - BOEHRINGER,23500,BROMURO IPRATROPIO,24450.0,Circular 19 de 2024,0.9611451942740287,-950.0,-3.885480572597137
DISFARMA,GIRON,BOEHRINGER,1980804-02,BROMURO IPRATROPIO 0.25MG/ML SOL INH FCOX20ML CX1 (ATROVENT) - BOEHRINGER,23500,BROMURO IPRATROPIO,24450.0,Circular 19 de 2024,0.9611451942740287,-950.0,-3.885480572597137
DISFARMA,BOGOTA,NOVARTIS,1980885-05,OXCARBAZEPINA 60MG/ML (6%) SUSP ORL FCOX100ML CX1 (TRILEPTAL) - NOVARTIS,30200,OXCARBAZEPINA,30720.0,Circular 19 de 2024,0.9830729166666666,-520.0,-1.6927083333333333
DISFARMA,CALI,NOVARTIS,1980885-05,OXCARBAZEPINA 60MG/ML (6%) SUSP ORL FCOX100ML CX1 (TRILEPTAL) - NOVARTIS,30200,OXCARBAZEPINA,30720.0,Circular 19 de 2024,0.9830729166666666,-520.0,-1.6927083333333333
DISFARMA,GIRON,NOVARTIS,1980885-05,OXCARBAZEPINA 60MG/ML (6%) SUSP ORL FCOX100ML CX1 (TRILEPTAL) - NOVARTIS,30200,OXCARBAZEPINA,30720.0,Circular 19 de 2024,0.9830729166666666,-520.0,-1.6927083333333333
DISFARMA,BOGOTA,VITALIS,19900226-06,CEFUROXIMA 750MG POL INY VIAL CX10 - VITALIS,52870,CEFUROXIMA,76500.0,Circular 19 de 2024,0.6911111111111111,-23630.0,-30.88888888888889
DISFARMA,CALI,VITALIS,19900226-06,CEFUROXIMA 750MG POL INY VIAL CX10 - VITALIS,52870,CEFUROXIMA,76500.0,Circular 19 de 2024,0.6911111111111111,-23630.0,-30.88888888888889
DISFARMA,GIRON,VITALIS,19900226-06,CEFUROXIMA 750MG POL INY VIAL CX10 - VITALIS,52870,CEFUROXIMA,76500.0,Circular 19 de 2024,0.6911111111111111,-23630.0,-30.88888888888889
DISFARMA,GIRON,FRESENIUS KABI,19900780-01,VITALIPID N - INFANT EMUL INY AMPX10ML CX10 - FRESENIUS KABI,80000,VITALIPID N - INFANT,81703.3,Circular 19 de 2024,0.9791526168465655,-1703.300000000003,-2.0847383153434476
DISFARMA,BOGOTA,ASPEN,19900840-06,CELECOXIB 200MG CAP CX20 (CELEBREX) - ASPEN,29820,CELECOXIB,32240.0,Circular 19 de 2024,0.924937965260546,-2420.0,-7.506203473945409
DISFARMA,CALI,ASPEN,19900840-06,CELECOXIB 200MG CAP CX20 (CELEBREX) - ASPEN,29820,CELECOXIB,32240.0,Circular 19 de 2024,0.924937965260546,-2420.0,-7.506203473945409
DISFARMA,GIRON,ASPEN,19900840-06,CELECOXIB 200MG CAP CX20 (CELEBREX) - ASPEN,29820,CELECOXIB,32240.0,Circular 19 de 2024,0.924937965260546,-2420.0,-7.506203473945409
DISFARMA,BOGOTA,BAYER,19900996-01,CIPROTERONA ACETATO 100MG C*10 TAB (ANDROCUR) - BAYER,45350,CIPROTERONA ACETATO,45370.0,Circular 19 de 2024,0.9995591800749394,-20.0,-0.04408199250606128
DISFARMA,BOGOTA,ASTRAZENECA,19901250-15,METOPROLOL SUCCINATO 200MG TAB LIB PRO CX30 (BETALOC ZOK) - ASTRAZENECA,65970,METOPROLOL SUCCINATO,74100.0,Circular 19 de 2024,0.8902834008097166,-8130.0,-10.97165991902834
DISFARMA,GIRON,ASTRAZENECA,19901250-15,METOPROLOL SUCCINATO 200MG TAB LIB PRO CX30 (BETALOC ZOK) - ASTRAZENECA,65970,METOPROLOL SUCCINATO,74100.0,Circular 19 de 2024,0.8902834008097166,-8130.0,-10.97165991902834
DISFARMA,BOGOTA,BOEHRINGER,19901852-02,TELMISARTAN 80MG C*28 TAB (MICARDIS) - BOEHRINGER,28812,TELMISARTAN,29209.6,Circular 19 de 2024,0.986388036809816,-397.59999999999854,-1.3611963190184
DISFARMA,CALI,BOEHRINGER,19901852-02,TELMISARTAN 80MG C*28 TAB (MICARDIS) - BOEHRINGER,28812,TELMISARTAN,29209.6,Circular 19 de 2024,0.986388036809816,-397.59999999999854,-1.3611963190184
DISFARMA,GIRON,BOEHRINGER,19901852-02,TELMISARTAN 80MG C*28 TAB (MICARDIS) - BOEHRINGER,28812,TELMISARTAN,29209.6,Circular 19 de 2024,0.986388036809816,-397.59999999999854,-1.3611963190184
DISFARMA,BOGOTA,SYNTHESIS,19902231-01,CIPROTERONA+ETINILESTRADIOL 2MG+0.035MG TAB CX21 (FACETIX) - SYNTHESIS,9597,CIPROTERONA+ETINILESTRADIOL,9906.65,Circular 19 de 2024,0.9687432179394649,-309.64999999999964,-3.125678206053506
DISFARMA,CALI,SYNTHESIS,19902231-01,CIPROTERONA+ETINILESTRADIOL 2MG+0.035MG TAB CX21 (FACETIX) - SYNTHESIS,9597,CIPROTERONA+ETINILESTRADIOL,9906.65,Circular 19 de 2024,0.9687432179394649,-309.64999999999964,-3.125678206053506
DISFARMA,GIRON,SYNTHESIS,19902231-01,CIPROTERONA+ETINILESTRADIOL 2MG+0.035MG TAB CX21 (FACETIX) - SYNTHESIS,9597,CIPROTERONA+ETINILESTRADIOL,9906.65,Circular 19 de 2024,0.9687432179394649,-309.64999999999964,-3.125678206053506
DISFARMA,BOGOTA,GLAXOSMITHKLINE,19902533-03,PROPIONATO FLUTICASONA+SALMETEROL (500MCG+50MCG)/DOSIS POL INH FCOX60 DOSIS CX1 (SERETIDE DISKUS) - GLAXOSMITHKLINE,48500,PROPIONATO FLUTICASONA+SALMETEROL,128820.0,Circular 19 de 2024,0.37649433317807796,-80320.0,-62.35056668219221
DISFARMA,CALI,GLAXOSMITHKLINE,19902533-03,PROPIONATO FLUTICASONA+SALMETEROL (500MCG+50MCG)/DOSIS POL INH FCOX60 DOSIS CX1 (SERETIDE DISKUS) - GLAXOSMITHKLINE,48500,PROPIONATO FLUTICASONA+SALMETEROL,128820.0,Circular 19 de 2024,0.37649433317807796,-80320.0,-62.35056668219221
DISFARMA,GIRON,GLAXOSMITHKLINE,19902533-03,PROPIONATO FLUTICASONA+SALMETEROL (500MCG+50MCG)/DOSIS POL INH FCOX60 DOSIS CX1 (SERETIDE DISKUS) - GLAXOSMITHKLINE,48500,PROPIONATO FLUTICASONA+SALMETEROL,128820.0,Circular 19 de 2024,0.37649433317807796,-80320.0,-62.35056668219221
DISFARMA,BOGOTA,GLAXOSMITHKLINE,19902534-04,PROPIONATO FLUTICASONA+SALMETEROL (100MCG+50MCG)/DOSIS POL INH FCOX60 DOSIS CX1 (SERETIDE DISKUS) - GLAXOSMITHKLINE,73599,PROPIONATO FLUTICASONA+SALMETEROL,78150.0,Circular 19 de 2024,0.9417658349328215,-4551.0,-5.823416506717851
DISFARMA,CALI,GLAXOSMITHKLINE,19902534-04,PROPIONATO FLUTICASONA+SALMETEROL (100MCG+50MCG)/DOSIS POL INH FCOX60 DOSIS CX1 (SERETIDE DISKUS) - GLAXOSMITHKLINE,73599,PROPIONATO FLUTICASONA+SALMETEROL,78150.0,Circular 19 de 2024,0.9417658349328215,-4551.0,-5.823416506717851
DISFARMA,GIRON,GLAXOSMITHKLINE,19902534-04,PROPIONATO FLUTICASONA+SALMETEROL (100MCG+50MCG)/DOSIS POL INH FCOX60 DOSIS CX1 (SERETIDE DISKUS) - GLAXOSMITHKLINE,73599,PROPIONATO FLUTICASONA+SALMETEROL,78150.0,Circular 19 de 2024,0.9417658349328215,-4551.0,-5.823416506717851
DISFARMA,BOGOTA,PFIZER,19903238-02,EXEMESTANO 25MG C*30 TAB (AROMASIN) - PFIZER,176100,EXEMESTANO,216337.5,Circular 19 de 2024,0.814005893569076,-40237.5,-18.59941064309239
DISFARMA,CALI,PFIZER,19903238-02,EXEMESTANO 25MG C*30 TAB (AROMASIN) - PFIZER,176100,EXEMESTANO,216337.5,Circular 19 de 2024,0.814005893569076,-40237.5,-18.59941064309239
DISFARMA,GIRON,PFIZER,19903238-02,EXEMESTANO 25MG C*30 TAB (AROMASIN) - PFIZER,176100,EXEMESTANO,216337.5,Circular 19 de 2024,0.814005893569076,-40237.5,-18.59941064309239
DISFARMA,CALI,BESINS,19903566-01,PROGESTERONA 1G/100G (1%) GEL TOP TUBX80G CX1 (PROGESTOGEL) - BESINS,70580,PROGESTERONA,90008.0,Circular 19 de 2024,0.78415251977602,-19428.0,-21.58474802239801
DISFARMA,GIRON,BESINS,19903566-01,PROGESTERONA 1G/100G (1%) GEL TOP TUBX80G CX1 (PROGESTOGEL) - BESINS,70580,PROGESTERONA,90008.0,Circular 19 de 2024,0.78415251977602,-19428.0,-21.58474802239801
DISFARMA,BOGOTA,SANOFI,19904598-02,HIDROCLOROTIAZIDA+IRBESARTAN 12.5MG+300MG TAB CX28 (COAPROVEL) - SANOFI,21336,HIDROCLOROTIAZIDA+IRBESARTAN,56784.0,Circular 19 de 2024,0.3757396449704142,-35448.0,-62.42603550295858
DISFARMA,BOGOTA,MONTE VERDE,19906266-03,BUPROPION HCL 150MG TAB LIB PRO CX30 (ODRANAL) - MONTE VERDE,23250,BUPROPION HCL,58545.0,Circular 19 de 2024,0.3971304125032027,-35295.0,-60.286958749679734
DISFARMA,CALI,MONTE VERDE,19906266-03,BUPROPION HCL 150MG TAB LIB PRO CX30 (ODRANAL) - MONTE VERDE,23250,BUPROPION HCL,58545.0,Circular 19 de 2024,0.3971304125032027,-35295.0,-60.286958749679734
DISFARMA,GIRON,MONTE VERDE,19906266-03,BUPROPION HCL 150MG TAB LIB PRO CX30 (ODRANAL) - MONTE VERDE,23250,BUPROPION HCL,58545.0,Circular 19 de 2024,0.3971304125032027,-35295.0,-60.286958749679734
DISFARMA,BOGOTA,MSD,19907388-03,TEMOZOLAMIDA 100MG CAP CX5 (TEMODAL) - MSD,617945,TEMOZOLAMIDA,877560.0,Circular 19 de 2024,0.7041626783353845,-259615.0,-29.58373216646155
DISFARMA,GIRON,MSD,19907388-03,TEMOZOLAMIDA 100MG CAP CX5 (TEMODAL) - MSD,617945,TEMOZOLAMIDA,877560.0,Circular 19 de 2024,0.7041626783353845,-259615.0,-29.58373216646155
DISFARMA,BOGOTA,MSD,19907390-03,TEMOZOLAMIDA 20MG CAP CX5 (TEMODAL) - MSD,95500,TEMOZOLAMIDA,175512.0,Circular 19 de 2024,0.5441223392132731,-80012.0,-45.58776607867268
DISFARMA,BOGOTA,PFIZER,19907394-06,LINEZOLID 2MG/ML SOL INY BOLX300ML (ZYVOXID FREEFLEX) - PFIZER,114446,LINEZOLID,143124.0,Circular 19 de 2024,0.7996282943461613,-28678.0,-20.037170565383864
DISFARMA,CALI,PFIZER,19907394-06,LINEZOLID 2MG/ML SOL INY BOLX300ML (ZYVOXID FREEFLEX) - PFIZER,114446,LINEZOLID,143124.0,Circular 19 de 2024,0.7996282943461613,-28678.0,-20.037170565383864
DISFARMA,GIRON,PFIZER,19907394-06,LINEZOLID 2MG/ML SOL INY BOLX300ML (ZYVOXID FREEFLEX) - PFIZER,114446,LINEZOLID,143124.0,Circular 19 de 2024,0.7996282943461613,-28678.0,-20.037170565383864
DISFARMA,BOGOTA,DR. FALK PHARMA,19908024-03,BUDESONIDA 3MG CAP LIB RET CX20 (BUDENOFALK) - DR. FALK PHARMA,71500,BUDESONIDA,73516.2,Circular 19 de 2024,0.972574752231481,-2016.199999999997,-2.742524776851901
DISFARMA,CALI,DR. FALK PHARMA,19908024-03,BUDESONIDA 3MG CAP LIB RET CX20 (BUDENOFALK) - DR. FALK PHARMA,71500,BUDESONIDA,73516.2,Circular 19 de 2024,0.972574752231481,-2016.199999999997,-2.742524776851901
DISFARMA,GIRON,DR. FALK PHARMA,19908024-03,BUDESONIDA 3MG CAP LIB RET CX20 (BUDENOFALK) - DR. FALK PHARMA,71500,BUDESONIDA,73516.2,Circular 19 de 2024,0.972574752231481,-2016.199999999997,-2.742524776851901
DISFARMA,BOGOTA,MERCK,19908192-07,BISOPROLOL FUMARATO 2.5MG TAB FCOX30 CX1 (CONCOR) - MERCK,9000,BISOPROLOL FUMARATO,10519.5,Circular 19 de 2024,0.8555539711963497,-1519.5,-14.444602880365037
DISFARMA,CALI,MERCK,19908192-07,BISOPROLOL FUMARATO 2.5MG TAB FCOX30 CX1 (CONCOR) - MERCK,9000,BISOPROLOL FUMARATO,10519.5,Circular 19 de 2024,0.8555539711963497,-1519.5,-14.444602880365037
DISFARMA,GIRON,MERCK,19908192-07,BISOPROLOL FUMARATO 2.5MG TAB FCOX30 CX1 (CONCOR) - MERCK,9000,BISOPROLOL FUMARATO,10519.5,Circular 19 de 2024,0.8555539711963497,-1519.5,-14.444602880365037
DISFARMA,BOGOTA,GRUNENTHAL,19908328-01,CLORMADINONA+ETINILESTRADIOL 2MG+0.03MG TAB CX21 (BELARA) - GRUNENTHAL,20979,CLORMADINONA+ETINILESTRADIOL,25270.76,Circular 19 de 2024,0.8301689383303075,-4291.759999999998,-16.98310616696925
DISFARMA,GIRON,GRUNENTHAL,19908328-01,CLORMADINONA+ETINILESTRADIOL 2MG+0.03MG TAB CX21 (BELARA) - GRUNENTHAL,20979,CLORMADINONA+ETINILESTRADIOL,25270.76,Circular 19 de 2024,0.8301689383303075,-4291.759999999998,-16.98310616696925
DISFARMA,CALI,NOVARTIS,19908543-04,OXCARBAZEPINA 300MG TAB CX30 (TRILEPTAL) - NOVARTIS,20550,OXCARBAZEPINA,20790.0,Circular 19 de 2024,0.9884559884559885,-240.0,-1.1544011544011543
DISFARMA,CALI,NOVARTIS,19908545-13,OXCARBAZEPINA 600MG C*30 TAB (TRILEPTAL) - NOVARTIS,40980,OXCARBAZEPINA,41580.0,Circular 19 de 2024,0.9855699855699855,-600.0,-1.443001443001443
DISFARMA,BOGOTA,SANOFI,19908750-03,ALFUZOSINA HCL 10MG TAB LIB PRO CX30 (XATRAL OD) - SANOFI,38970,ALFUZOSINA HCL,39711.0,Circular 19 de 2024,0.9813401828208809,-741.0,-1.8659817179119136
DISFARMA,CALI,SANOFI,19908750-03,ALFUZOSINA HCL 10MG TAB LIB PRO CX30 (XATRAL OD) - SANOFI,38970,ALFUZOSINA HCL,39711.0,Circular 19 de 2024,0.9813401828208809,-741.0,-1.8659817179119136
DISFARMA,GIRON,SANOFI,19908750-03,ALFUZOSINA HCL 10MG TAB LIB PRO CX30 (XATRAL OD) - SANOFI,38970,ALFUZOSINA HCL,39711.0,Circular 19 de 2024,0.9813401828208809,-741.0,-1.8659817179119136
DISFARMA,BOGOTA,PFIZER,19909516-01,LINEZOLID 600MG C*10 TAB (ZYVOXID) - PFIZER,568000,LINEZOLID,704580.0,Circular 19 de 2024,0.8061540208351075,-136580.0,-19.38459791648926
DISFARMA,GIRON,PFIZER,19909516-01,LINEZOLID 600MG C*10 TAB (ZYVOXID) - PFIZER,568000,LINEZOLID,704580.0,Circular 19 de 2024,0.8061540208351075,-136580.0,-19.38459791648926
DISFARMA,BOGOTA,BAYER,19912555-04,DROSPIRENONA+ETINILESTRADIOL 3MG+0.03MG TAB CX21 (YASMIN) - BAYER,26775,DROSPIRENONA+ETINILESTRADIOL,26910.36,Circular 19 de 2024,0.9949699669569637,-135.36000000000058,-0.5030033043036235
DISFARMA,CALI,BAYER,19912555-04,DROSPIRENONA+ETINILESTRADIOL 3MG+0.03MG TAB CX21 (YASMIN) - BAYER,26775,DROSPIRENONA+ETINILESTRADIOL,26910.36,Circular 19 de 2024,0.9949699669569637,-135.36000000000058,-0.5030033043036235
DISFARMA,BOGOTA,GLAXOSMITHKLINE,19913254-01,PROPIONATO FLUTICASONA+SALMETEROL (125MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE EVOHALER) - GLAXOSMITHKLINE,52294,PROPIONATO FLUTICASONA+SALMETEROL,100950.0,Circular 19 de 2024,0.5180188211986132,-48656.0,-48.19811788013868
DISFARMA,CALI,GLAXOSMITHKLINE,19913254-01,PROPIONATO FLUTICASONA+SALMETEROL (125MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE EVOHALER) - GLAXOSMITHKLINE,52294,PROPIONATO FLUTICASONA+SALMETEROL,100950.0,Circular 19 de 2024,0.5180188211986132,-48656.0,-48.19811788013868
DISFARMA,GIRON,GLAXOSMITHKLINE,19913254-01,PROPIONATO FLUTICASONA+SALMETEROL (125MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE EVOHALER) - GLAXOSMITHKLINE,52294,PROPIONATO FLUTICASONA+SALMETEROL,100950.0,Circular 19 de 2024,0.5180188211986132,-48656.0,-48.19811788013868
DISFARMA,BOGOTA,GLAXOSMITHKLINE,19913256-01,PROPIONATO FLUTICASONA+SALMETEROL (50MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE OSP) - GLAXOSMITHKLINE,73222,PROPIONATO FLUTICASONA+SALMETEROL,80460.0,Circular 19 de 2024,0.9100422570221228,-7238.0,-8.99577429778772
DISFARMA,CALI,GLAXOSMITHKLINE,19913256-01,PROPIONATO FLUTICASONA+SALMETEROL (50MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE OSP) - GLAXOSMITHKLINE,73222,PROPIONATO FLUTICASONA+SALMETEROL,80460.0,Circular 19 de 2024,0.9100422570221228,-7238.0,-8.99577429778772
DISFARMA,GIRON,GLAXOSMITHKLINE,19913256-01,PROPIONATO FLUTICASONA+SALMETEROL (50MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE OSP) - GLAXOSMITHKLINE,73222,PROPIONATO FLUTICASONA+SALMETEROL,80460.0,Circular 19 de 2024,0.9100422570221228,-7238.0,-8.99577429778772
DISFARMA,BOGOTA,GLAXOSMITHKLINE,19913258-01,PROPIONATO FLUTICASONA+SALMETEROL (250MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE EVOHALER) - GLAXOSMITHKLINE,65800,PROPIONATO FLUTICASONA+SALMETEROL,123300.0,Circular 19 de 2024,0.5336577453365775,-57500.0,-46.63422546634226
DISFARMA,CALI,GLAXOSMITHKLINE,19913258-01,PROPIONATO FLUTICASONA+SALMETEROL (250MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE EVOHALER) - GLAXOSMITHKLINE,65800,PROPIONATO FLUTICASONA+SALMETEROL,123300.0,Circular 19 de 2024,0.5336577453365775,-57500.0,-46.63422546634226
DISFARMA,GIRON,GLAXOSMITHKLINE,19913258-01,PROPIONATO FLUTICASONA+SALMETEROL (250MCG+25MCG)/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (SERETIDE EVOHALER) - GLAXOSMITHKLINE,65800,PROPIONATO FLUTICASONA+SALMETEROL,123300.0,Circular 19 de 2024,0.5336577453365775,-57500.0,-46.63422546634226
DISFARMA,BOGOTA,GLAXOSMITHKLINE,19913481-02,PROPIONATO FLUTICASONA 50MCG/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (FLIXOTIDE) - GLAXOSMITHKLINE,24775,PROPIONATO FLUTICASONA,24780.0,Circular 19 de 2024,0.9997982243744956,-5.0,-0.020177562550443905
DISFARMA,CALI,GLAXOSMITHKLINE,19913481-02,PROPIONATO FLUTICASONA 50MCG/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (FLIXOTIDE) - GLAXOSMITHKLINE,24775,PROPIONATO FLUTICASONA,24780.0,Circular 19 de 2024,0.9997982243744956,-5.0,-0.020177562550443905
DISFARMA,GIRON,GLAXOSMITHKLINE,19913481-02,PROPIONATO FLUTICASONA 50MCG/DOSIS SUSP INH BUC FCOX120 DOSIS CX1 (FLIXOTIDE) - GLAXOSMITHKLINE,24775,PROPIONATO FLUTICASONA,24780.0,Circular 19 de 2024,0.9997982243744956,-5.0,-0.020177562550443905
DISFARMA,BOGOTA,GLAXOSMITHKLINE,19913482-01,PROPIONATO FLUTICASONA 250MCG/DOSIS SUSP INH BUC FCOX60 DOSIS CX1 (FLIXOTIDE) - GLAXOSMITHKLINE,61350,PROPIONATO FLUTICASONA,61950.0,Circular 19 de 2024,0.9903147699757869,-600.0,-0.9685230024213075
DISFARMA,CALI,GLAXOSMITHKLINE,19913482-01,PROPIONATO FLUTICASONA 250MCG/DOSIS SUSP INH BUC FCOX60 DOSIS CX1 (FLIXOTIDE) - GLAXOSMITHKLINE,61350,PROPIONATO FLUTICASONA,61950.0,Circular 19 de 2024,0.9903147699757869,-600.0,-0.9685230024213075
DISFARMA,GIRON,GLAXOSMITHKLINE,19913482-01,PROPIONATO FLUTICASONA 250MCG/DOSIS SUSP INH BUC FCOX60 DOSIS CX1 (FLIXOTIDE) - GLAXOSMITHKLINE,61350,PROPIONATO FLUTICASONA,61950.0,Circular 19 de 2024,0.9903147699757869,-600.0,-0.9685230024213075
DISFARMA,BOGOTA,TECNOQUIMICAS,19914681-01,CELECOXIB 200MG CAP CX10 - TECNOQUIMICAS,5410,CELECOXIB,16120.0,Circular 19 de 2024,0.3356079404466501,-10710.0,-66.43920595533498
DISFARMA,CALI,TECNOQUIMICAS,19914681-01,CELECOXIB 200MG CAP CX10 - TECNOQUIMICAS,5410,CELECOXIB,16120.0,Circular 19 de 2024,0.3356079404466501,-10710.0,-66.43920595533498
DISFARMA,GIRON,TECNOQUIMICAS,19914681-01,CELECOXIB 200MG CAP CX10 - TECNOQUIMICAS,5410,CELECOXIB,16120.0,Circular 19 de 2024,0.3356079404466501,-10710.0,-66.43920595533498
DISFARMA,BOGOTA,PFIZER,19914809-06,SIROLIMUS 1MG TAB CX100 (RAPAMUNE) - PFIZER,1139500,SIROLIMUS,1387610.0,Circular 19 de 2024,0.821196157421754,-248110.0,-17.880384257824605
DISFARMA,CALI,PFIZER,19914809-06,SIROLIMUS 1MG TAB CX100 (RAPAMUNE) - PFIZER,1139500,SIROLIMUS,1387610.0,Circular 19 de 2024,0.821196157421754,-248110.0,-17.880384257824605
DISFARMA,GIRON,PFIZER,19914809-06,SIROLIMUS 1MG TAB CX100 (RAPAMUNE) - PFIZER,1139500,SIROLIMUS,1387610.0,Circular 19 de 2024,0.821196157421754,-248110.0,-17.880384257824605
DISFARMA,BOGOTA,FERRING,19917457-03,DESMOPRESINA 15MCG/ML SOL INY AMPX1ML CX10 (OCTOSTIM) - FERRING,789110,DESMOPRESINA,815702.211,Circular 19 de 2024,0.9673996090222685,-26592.21100000001,-3.2600390977731464
DISFARMA,CALI,FERRING,19917457-03,DESMOPRESINA 15MCG/ML SOL INY AMPX1ML CX10 (OCTOSTIM) - FERRING,789110,DESMOPRESINA,815702.211,Circular 19 de 2024,0.9673996090222685,-26592.21100000001,-3.2600390977731464
DISFARMA,GIRON,FERRING,19917457-03,DESMOPRESINA 15MCG/ML SOL INY AMPX1ML CX10 (OCTOSTIM) - FERRING,789110,DESMOPRESINA,815702.211,Circular 19 de 2024,0.9673996090222685,-26592.21100000001,-3.2600390977731464
DISFARMA,BOGOTA,ASTRAZENECA,19918906-01,BUDESONIDA+FORMOTEROL FUMARATO 160MCG+4.5MCG POL INH BUC FCOX60 DOSIS CX1 (SYMBICORT TURBUHALER) - ASTRAZENECA,51999,BUDESONIDA+FORMOTEROL FUMARATO,55776.0,Circular 19 de 2024,0.9322827022375215,-3777.0,-6.771729776247848
DISFARMA,CALI,ASTRAZENECA,19918906-01,BUDESONIDA+FORMOTEROL FUMARATO 160MCG+4.5MCG POL INH BUC FCOX60 DOSIS CX1 (SYMBICORT TURBUHALER) - ASTRAZENECA,51999,BUDESONIDA+FORMOTEROL FUMARATO,55776.0,Circular 19 de 2024,0.9322827022375215,-3777.0,-6.771729776247848
DISFARMA,GIRON,ASTRAZENECA,19918906-01,BUDESONIDA+FORMOTEROL FUMARATO 160MCG+4.5MCG POL INH BUC FCOX60 DOSIS CX1 (SYMBICORT TURBUHALER) - ASTRAZENECA,51999,BUDESONIDA+FORMOTEROL FUMARATO,55776.0,Circular 19 de 2024,0.9322827022375215,-3777.0,-6.771729776247848
DISFARMA,BOGOTA,ASTRAZENECA,19918906-02,BUDESONIDA+FORMOTEROL FUMARATO 160MCG+4.5MCG POL INH BUC FCOX120 DOSIS CX1 (SYMBICORT TURBUHALER) - ASTRAZENECA,103000,BUDESONIDA+FORMOTEROL FUMARATO,111552.0,Circular 19 de 2024,0.9233362019506598,-8552.0,-7.666379804934022
DISFARMA,CALI,ASTRAZENECA,19918906-02,BUDESONIDA+FORMOTEROL FUMARATO 160MCG+4.5MCG POL INH BUC FCOX120 DOSIS CX1 (SYMBICORT TURBUHALER) - ASTRAZENECA,103000,BUDESONIDA+FORMOTEROL FUMARATO,111552.0,Circular 19 de 2024,0.9233362019506598,-8552.0,-7.666379804934022
DISFARMA,GIRON,ASTRAZENECA,19918906-02,BUDESONIDA+FORMOTEROL FUMARATO 160MCG+4.5MCG POL INH BUC FCOX120 DOSIS CX1 (SYMBICORT TURBUHALER) - ASTRAZENECA,103000,BUDESONIDA+FORMOTEROL FUMARATO,111552.0,Circular 19 de 2024,0.9233362019506598,-8552.0,-7.666379804934022
DISFARMA,BOGOTA,ABBVIE,19923968-04,BIMATOPROST 0.3MG/ML (0.03%) SOL OFT GTS FCOX3ML CX1 (LUMIGAN) - ABBVIE,72999,BIMATOPROST,81511.245,Circular 19 de 2024,0.8955696848943971,-8512.244999999995,-10.443031510560287
DISFARMA,CALI,ABBVIE,19923968-04,BIMATOPROST 0.3MG/ML (0.03%) SOL OFT GTS FCOX3ML CX1 (LUMIGAN) - ABBVIE,72999,BIMATOPROST,81511.245,Circular 19 de 2024,0.8955696848943971,-8512.244999999995,-10.443031510560287
DISFARMA,GIRON,ABBVIE,19923968-04,BIMATOPROST 0.3MG/ML (0.03%) SOL OFT GTS FCOX3ML CX1 (LUMIGAN) - ABBVIE,72999,BIMATOPROST,81511.245,Circular 19 de 2024,0.8955696848943971,-8512.244999999995,-10.443031510560287
DISFARMA,BOGOTA,SOPHIA,19924045-02,BRIMONIDINA TARTRATO 2MG/ML (0.2%) SOL OFT GTS FCOX5ML CX1 (AGGLAD OFTENO) - SOPHIA,13271,BRIMONIDINA TARTRATO,23280.5,Circular 19 de 2024,0.5700478941603488,-10009.5,-42.99521058396512
